itemName,itemEffect,itemSource,location,act
Boots of Uninhibited Kushigo,Deal additional damage equal to your Wisdom modifier with unarmed attacks,Prelate Lir'i'c near the prison,X: -163 Y: -1158,3
Staff of the Emperor,"+1 bonus to spell save DC and spell attack rolls On your successful saving throw, the attacker that caused the throw must succeed DC 15 Intelligence save or get Stunned for 1 turn",Looted from The Emperor near the prison by disarming him,X: -160 Y: -1165,3
Orphic Ring,Cast Confusion (level 5) ( Recharge: Long rest),Orpheus if chosen to be sacrificed,X: 53 Y: 3238[1],3
Shapeshifter's Boon Ring,"While shapeshifting or disguising yourself, gain a 1d4 bonus to all ability checks. This effect lasts until long rest and doesn't require the ring to be equipped once enabled","Strange Ox in the barn south-east of the Rivington waypoint, if spared at the Emerald Grove and the Last Light Inn",X: 39 Y: -149,3
Hat of Fire Acuity,"When you deal Fire damage, once per attack, gain Arcane Acuity for 2 turns","Strange Ox in the barn south-east of the Rivington waypoint, if spared at the Emerald Grove and the Last Light Inn",X: 39 Y: -149,3
Dwarven Thrower,"When thrown, returns to your hand If dwarf[1], deal additional 1d8 Bludgeoning damage when throwing this weapon, or additional 2d8 Bludgeoning damage if throwing this weapon at a Large, Huge, or Gargantuan target",Bought or stolen from Ferg Drogher north-west of the Requisitioned Barn if Shadowheart is not in your party,X: 43 Y: -101,3
Cold Snap,"Deal additional 1d4 Cold damage with this weapon While this dagger is held in your off-hand, gain a +1 bonus to AC, and when an attack misses you, the attacker gets Chilled for 2 turns",Bought or stolen from Ferg Drogher north-west of the Requisitioned Barn if Shadowheart is not in your party,X: 43 Y: -101,3
Hellrider Longbow,"Gain advantage on Perception ability checks and a +3 bonus to Initiative rolls On a hit with this longbow, once per turn, the target must succed DC 13 Dexterity save or be encased in Faerie Fire for 1 turn",Bought or stolen from Ferg Drogher north-west of the Requisitioned Barn if Shadowheart is not in your party,X: 43 Y: -101,3
Nymph Cloak,Cast Dominate Person ( Recharge: Long rest),Bought or stolen from Ferg Drogher north-west of the Requisitioned Barn if he was persuaded to disclose his special stock. High Security Vault n°1 on the southern side of the high security vault hall,X: 43 Y: -101 The Counting House X: -711 Y: 864,3
Robe of Supreme Defences,"While concentrating, add your spellcasting modifier to saving throws and gain a +1 bonus to AC",Bought or stolen from Ferg Drogher north-west of the Requisitioned Barn if he was persuaded to disclose his special stock,X: 43 Y: -101,3
Sethan,"Cast Sethan: Spiritual Greataxe ( Recharge: Long rest) Cast Sethan: Reduce ( Recharge: Long rest)",Bought or stolen from Ferg Drogher north-west of the Requisitioned Barn if he was persuaded to disclose his special stock,X: 43 Y: -101,3
Corvid Token,"Your Jump and Fly distance is increased by 1.5 m / 5.0 ft Cast Feather Fall that persists through polymorph and shapeshfting ( Recharge: Per turn) Cast Polymorph: Dire Raven ( Recharge: Long rest)","Bought or stolen from Mattis at the Requisitioned Barn east of the Rivington waypoint, if he survived after Save the Refugees[2] and moved to Last Light Inn in Act 2",X: 56 Y: -120,3
Scabby Pugilist Circlet,Deal additional 2 damage with your weapon or unarmed strikes when surrounded by 2+ foes,"Bought or stolen from Mattis at the Requisitioned Barn east of the Rivington waypoint, if he survived after Save the Refugees[2] and moved to Last Light Inn in Act 2",X: 56 Y: -120,3
Ring of Truthfulness,Advantage on Insight ability checks,Looted or stolen from the Mind Flayer in the Abandoned Windmill basement,Abandoned Windmill - Basement X: -231 Y: -802,3
The Undead Bane,"Deal additional 1d6 Slashing damage with melee weapons against Fiends and Undead Gain an action to strike the target, dealing additional damage equal to your proficiency bonus, and additional 2d6 Slashing damage on top if the target is Fiend or Undead; The Fiend or Undead target must succeed DC 12 Strength save or get Baned for 3 turns (equivalent to casting Bane on the target) ( Recharge: Short rest)",Ulma in the Gur Camp,X: 100 Y: -17 Cazador's Dungeon X: -1925 Y: 836,3
Boots of Very Fast Blinking,"Cast Misty Step ( Recharge: Per turn) When teleporting with these boots, you are stripped naked down to underwear, except for inventory, rings, amulets, weapons, and boots. The stripped items remain at the spot you teleported from","Rewarded by Akabi at the Circus of the Last Days as a consolation prize for his Wheel of Fortune game. He will close down if you play 17 times, so the 16th time has to be the ""jackpot""[3]",X: -67 Y: -73,3
Comeback Handaxe,"When thrown, returns to your hand and deals 1d6+1 damage to you on return","Rewarded by Akabi at the Circus of the Last Days as a consolation prize for his Wheel of Fortune game. He will close down if you play 17 times, so the 16th time has to be the ""jackpot""[3]",X: -67 Y: -73,3
Reverse Rain Cloak,Remain permanently Wet while wearing this cloak,"Rewarded by Akabi at the Circus of the Last Days as a consolation prize for his Wheel of Fortune game. He will close down if you play 17 times, so the 16th time has to be the ""jackpot""[3]",X: -67 Y: -73,3
Staff of a Mumbling Wizard,"Cast Firebolt? that has 100% hit chance ( Recharge: Per turn) When casting Firebolt? with this staff, the target must succeed DC 20 save[4] (unaffected by anything) or be shot at with Fireball instead","Rewarded by Akabi at the Circus of the Last Days as a consolation prize for his Wheel of Fortune game. He will close down if you play 17 times, so the 16th time has to be the ""jackpot""[3]",X: -67 Y: -73,3
Unlucky Thief's Gloves,"Sleight of Hand +2 For each item you steal while wearing these gloves, receive 1 piece of Charcoal in inventory. After stealing 20 times, suffer Burning for 1 turn","Rewarded by Akabi at the Circus of the Last Days as a consolation prize for his Wheel of Fortune game. He will close down if you play 17 times, so the 16th time has to be the ""jackpot""[3]",X: -67 Y: -73,3
Djinni Ring,"Cast Mage Hand ( Recharge: Short rest) The key to the Jungle scenario, if you are not a Bard. You must steal this ring and play the game once more (as a 16th attempt at the latest) to land on a jackpot, after which the djinn will send you off to your demise",Stolen or looted from Akabi at the Circus of the Last Days,X: -67 Y: -73,3
Band of the Mystic Scoundrel,"After a hit with your weapon, cast illusion or enchantment spells as a Bonus action for 1 turn",In a backpack near the tent in the south-western part of the Jungle,Jungle X: -1564 Y: -1521,3
